Sensor: LSM6DSL Accelerometer
Vendor: STM
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
474001667697340;-0.3496;9.7540;0.9744;
474001687682267;-0.5375;9.7935;1.1337;
474001707674115;-0.2885;9.8677;1.0714;
474001729091616;-0.2119;9.6007;1.1588;
474001748378270;-0.4465;9.6139;1.0774;
474001768033135;-0.6608;9.6678;1.1073;
474001787849683;-0.2023;9.8737;1.0630;
474001807749092;-0.7314;9.7073;1.0020;
474001827701085;-0.1879;9.7276;0.7195;
474001847669504;-0.6740;9.5660;0.8392;
474001867653272;-0.1389;9.7492;0.7458;
474001887645790;-0.6309;9.6738;0.9038;
474001907643895;-0.3232;9.7420;1.1349;
474001927653640;-0.3579;9.7516;1.0451;
474001947660647;-0.5914;9.6762;1.2522;
474001967662247;-0.5878;9.6558;1.0127;
474001987662432;-0.2167;9.7109;0.9828;
474002007669082;-0.5602;9.6917;1.1360;
474002027672541;-0.5028;9.7217;1.0068;
474002047706944;-0.1281;9.6474;0.8464;
474002067718876;-0.3508;9.5457;1.1145;
474002087725208;-0.6608;9.6989;0.7841;
474002107730277;-0.3771;9.8964;0.6560;
474002127734716;-0.3065;9.7504;0.8811;
474002147717608;-0.3986;9.1734;0.7111;
474002167727227;-0.2502;9.7971;0.9589;
474002187729595;-0.4465;10.6015;-1.2953;
474002207734048;-1.4976;9.4308;0.1341;
474002227732928;0.0156;10.6722;-0.1999;
474002247702099;-0.1305;9.3865;-1.3515;
474002267683992;-0.5435;9.0728;1.1899;
474002287674477;-1.8986;10.4471;1.2079;
474002307669739;0.0371;11.0756;-1.5766;
474002327667158;0.6524;9.3925;-2.1416;
474002347680502;-1.3144;8.6802;0.6632;
474002367662828;-1.5443;10.5824;0.7554;
474002387659318;-0.1341;11.1977;-0.8727;
474002407661852;0.1772;9.6235;-0.6321;
474002427662849;-0.9266;9.1375;-1.5598;
474002447666002;-1.3958;9.5696;-2.6372;
474002467664790;0.1844;9.9383;0.7338;
474002487670568;-0.7685;10.5297;0.3196;
474002507677169;-1.6245;10.2412;-0.0263;
474002527666681;-0.5339;10.1095;-0.6189;
474002547710937;-0.0910;10.1610;-1.0331;
474002567693796;-1.1504;9.7695;-1.1827;
474002587714571;-1.0918;10.0149;-0.5076;
474002607693863;-0.5902;10.5848;-1.7202;
474002627678239;-0.5495;9.9563;-0.7590;
474002647672793;-1.0116;10.0616;-0.0814;
474002667671397;-1.1648;10.8302;-0.2634;
474002687669949;-0.6009;10.4363;-0.1951;
474002707668302;-0.5088;10.5345;1.0247;
474002727668478;-0.7841;9.3254;-3.7637;
474002747671951;-0.5339;9.2823;-4.8662;
474002767665456;-0.1556;9.4164;-4.3491;
474002787680055;-0.5243;9.0644;-4.1180;
474002807677085;-0.5686;9.0656;-4.8339;
474002827658639;-0.3352;9.4810;-5.0003;
474002847660070;-0.4010;9.1375;-4.0749;
474002867661247;-0.5423;8.7987;-4.6675;
474002887662258;-0.4645;9.2249;-4.9141;
474002907668014;-0.6045;9.2296;-4.5155;
474002927671680;-0.7015;9.0202;-4.6268;
474002947665513;-0.4106;9.0884;-4.8111;
474002967662814;-0.7530;10.5931;-0.1221;
474002987711734;-0.8487;10.4040;-0.3998;
474003007690290;-0.3136;10.1155;-0.9469;
474003027683857;-0.5183;9.9168;-2.0901;
474003047674275;-0.8320;9.4906;-3.2884;
474003067668618;-0.4166;9.2141;-3.5015;
474003087659809;-0.0934;9.3218;-3.4860;
474003107661808;-0.3663;9.5181;-3.0287;
474003127666096;-0.4513;10.1143;-2.3990;
474003147665548;-0.4980;10.4016;-0.9194;
474003167677466;-0.1053;10.3394;-0.1724;
474003187672271;-0.3496;10.5692;-0.3663;
474003207662328;-0.5495;9.9252;-1.3455;
474003227664356;-0.0515;10.5022;-0.3891;
474003247663428;-0.5219;10.1335;-0.5674;
474003267663233;-0.3843;9.6893;-3.0562;
474003287664713;-0.2849;9.3111;-3.7445;
474003307664549;-0.0634;9.9455;-2.2158;
474003327692159;-0.3017;10.4567;0.1736;
474003347688522;-0.5878;10.4770;-0.5495;
474003367696703;-0.0060;9.7121;-3.0993;
474003387680832;-0.2382;9.1866;-3.5973;
474003407669397;-0.0611;9.8617;-1.7957;
474003427665506;-0.1688;10.2197;-0.7111;
474003447665311;-0.0575;10.0628;-2.0291;
474003467667886;-0.3280;9.7121;-0.5183;
474003487668154;-0.1664;9.4870;-1.9644;
474003507666308;0.0335;9.4296;-1.4473;
474003527663846;0.2442;9.8282;0.0096;
474003547669288;0.2155;9.8928;0.2729;
474003567668855;-0.3436;9.6307;-0.3711;
474003587667254;-0.0359;9.7576;-0.9888;
474003607660185;0.0084;9.8485;-1.2833;
474003627702054;0.5950;10.0820;-1.4066;
474003647682392;0.3388;9.9455;-0.8475;
474003667678792;-0.1113;9.7983;-0.7099;
474003687674377;0.1676;10.1981;-0.5219;
474003707671554;0.5555;9.8545;0.1867;
474003727668988;0.3484;8.8693;1.2725;
474003747662436;0.4908;9.3111;0.7673;
474003767719410;0.0994;9.9515;-0.2514;
474003787681705;0.3065;9.6666;0.7817;
474003807742237;0.9876;9.3434;2.0973;
474003827705214;-0.6045;8.8250;2.2625;
474003847673030;-0.0766;10.5740;-0.6907;
474003867656169;0.9158;10.7847;-0.6081;
474003887647450;-0.0503;8.4719;2.5977;
474003907644917;-0.0682;8.8286;2.8371;
474003927659516;-0.3376;11.5712;-0.9673;
474003947663912;0.2813;10.9188;-0.4322;
474003967666360;0.3735;7.9152;3.2190;
474003987671064;-0.6919;10.4040;-0.3675;
474004007661436;-0.1628;11.4191;-1.0570;
474004027661448;0.4417;9.1423;2.4828;
474004047661185;-0.1963;8.8370;2.6671;
474004067672458;-0.2634;10.3441;-0.6285;
474004087667594;0.2993;9.8833;-0.9948;
474004107697450;0.3795;8.5916;1.9441;
474004127682955;-0.2382;9.4068;1.3659;
474004147672189;-0.3926;10.7931;-0.9290;
474004167669325;0.0503;9.6151;0.1496;
