Sensor: LSM6DSO Acceleration Sensor
Vendor: STM
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
1028175630204597;-0.1461;9.6753;0.8763;
1028175650202030;-0.1532;9.6681;0.8883;
1028175670199530;-0.1317;9.6872;0.8835;
1028175690197030;-0.1197;9.6944;0.8715;
1028175710194530;-0.1077;9.7112;0.8691;
1028175730191963;-0.1269;9.7112;0.8715;
1028175750189463;-0.1389;9.6992;0.8332;
1028175770186963;-0.1484;9.7016;0.8643;
1028175790184429;-0.1461;9.6968;0.8595;
1028175810181895;-0.1532;9.7016;0.8835;
1028175830179428;-0.1365;9.7112;0.8931;
1028175850176961;-0.1508;9.6992;0.8595;
1028175870175127;-0.1484;9.6992;0.8763;
1028175890172660;-0.1484;9.7088;0.9026;
1028175910170193;-0.1628;9.7136;0.8667;
1028175930168126;-0.1676;9.7040;0.8835;
1028175950165592;-0.1317;9.7088;0.8931;
1028175970163092;-0.1269;9.7303;0.8931;
