TimestampGNSS [ns]; UTC time [ms]; Lat [deg]; Lon [deg]; Height [m]; Speed [m/s]; Heading [deg]; Hor Acc [m]; Vert Acc [m]; Speed Acc [m/s]; Heading Acc [deg]
1028314393210261;1605969023000;48.799495862854;9.228413868434;282.5373;0.0000;-3000.0000;4.00000000;3.00000000;0.13599978;-1.00000000;
1028315396659260;1605969024000;48.799495862854;9.228413868434;282.4526;0.0000;-3000.0000;4.00000000;3.00000000;0.13385633;-1.00000000;
1028316392838375;1605969025000;48.799495862854;9.228413868434;282.3898;0.0000;-3000.0000;4.00000000;3.00000000;0.13554637;-1.00000000;
1028317408792028;1605969026000;48.799495862854;9.228413868434;282.3244;0.0000;-3000.0000;4.00000000;3.00000000;0.13179447;-1.00000000;
1028318385744835;1605969027000;48.799495862854;9.228413868434;282.3499;0.0000;-3000.0000;4.00000000;3.00000000;0.13030644;-1.00000000;
1028319398866258;1605969028000;48.799495862854;9.228413868434;282.3744;0.0000;-3000.0000;4.00000000;3.00036097;0.13115057;-1.00000000;
1028320390346795;1605969029000;48.799495862854;9.228413868434;282.4029;0.0000;-3000.0000;4.00000000;3.00000000;0.12377008;-1.00000000;
1028321372153372;1605969030000;48.799495862854;9.228413868434;282.4553;0.0000;-3000.0000;4.00000000;3.00000000;0.12435270;-1.00000000;
1028322407845640;1605969031000;48.799495862854;9.228413868434;282.5139;0.0000;-3000.0000;4.00000000;3.00000000;0.12589617;-1.00000000;
1028323380655793;1605969032000;48.799495862854;9.228413868434;282.5255;0.0000;-3000.0000;4.00000000;3.00000000;0.13163736;-1.00000000;
1028324381183100;1605969033000;48.799495862854;9.228413868434;282.5360;0.0000;-3000.0000;4.00000000;3.00000000;0.13051330;-1.00000000;
1028325389067215;1605969034000;48.799495862854;9.228413868434;282.5597;0.0000;-3000.0000;4.00000000;3.00000000;0.13081835;-1.00000000;
1028326390362868;1605969035000;48.799495862854;9.228413868434;282.6132;0.0000;-3000.0000;4.00000000;3.00000000;0.12972796;-1.00000000;
1028327383932406;1605969036000;48.799495862854;9.228413868434;282.6141;0.0000;-3000.0000;4.00000000;3.00000000;0.12973943;-1.00000000;
1028328370124828;1605969037000;48.799495862854;9.228413868434;282.6630;0.0000;-3000.0000;4.00000000;3.00000000;0.13085724;-1.00000000;
